listing_id,entire_home_or_apt,year-month,season,percentage_of_nights_available
2089894,True,2024-01,Winter-24,0.0
2089894,True,2024-02,Winter-24,0.0
2089894,True,2024-03,Spring-24,0.0
2101856,True,2023-03,Spring-23,0.0
2101856,True,2023-04,Spring-23,0.5
2101856,True,2023-05,Spring-23,0.677
2101856,True,2023-06,Summer-23,0.533
2101856,True,2023-07,Summer-23,0.935
2101856,True,2023-08,Summer-23,1.0
2101856,True,2023-09,Fall-23,1.0
2101856,True,2023-10,Fall-23,1.0
2101856,True,2023-11,Fall-23,1.0
2101856,True,2023-12,Winter-23,1.0
2101856,True,2024-01,Winter-24,1.0
2101856,True,2024-02,Winter-24,1.0
2101856,True,2024-03,Spring-24,1.0
2114753,False,2023-03,Spring-23,0.0
2114753,False,2023-04,Spring-23,0.0
2114753,False,2023-05,Spring-23,0.0
2114753,False,2023-06,Summer-23,0.9
2114753,False,2023-07,Summer-23,1.0
2114753,False,2023-08,Summer-23,1.0
2114753,False,2023-09,Fall-23,1.0
2114753,False,2023-10,Fall-23,1.0
2114753,False,2023-11,Fall-23,1.0
2114753,False,2023-12,Winter-23,1.0
2114753,False,2024-01,Winter-24,1.0
2114753,False,2024-02,Winter-24,1.0
2114753,False,2024-03,Spring-24,1.0
2183892,True,2023-03,Spring-23,0.0
2183892,True,2023-04,Spring-23,0.0
2183892,True,2023-05,Spring-23,0.903
2183892,True,2023-06,Summer-23,1.0
2183892,True,2023-07,Summer-23,0.29
2183892,True,2023-08,Summer-23,0.548
2183892,True,2023-09,Fall-23,1.0
2183892,True,2023-10,Fall-23,1.0
2183892,True,2023-11,Fall-23,0.0
2183892,True,2023-12,Winter-23,0.0
2183892,True,2024-01,Winter-24,0.0
2183892,True,2024-02,Winter-24,0.0
2183892,True,2024-03,Spring-24,0.0
2216467,True,2023-03,Spring-23,0.0
2216467,True,2023-04,Spring-23,0.9
2216467,True,2023-05,Spring-23,1.0
2216467,True,2023-06,Summer-23,1.0
2216467,True,2023-07,Summer-23,1.0
2216467,True,2023-08,Summer-23,1.0
2216467,True,2023-09,Fall-23,1.0
2216467,True,2023-10,Fall-23,1.0
2216467,True,2023-11,Fall-23,1.0
2216467,True,2023-12,Winter-23,0.548
2216467,True,2024-01,Winter-24,0.0
2216467,True,2024-02,Winter-24,0.0
2216467,True,2024-03,Spring-24,0.0
2243045,True,2023-03,Spring-23,0.889
2243045,True,2023-04,Spring-23,1.0
2243045,True,2023-05,Spring-23,1.0
2243045,True,2023-06,Summer-23,1.0
2243045,True,2023-07,Summer-23,1.0
2243045,True,2023-08,Summer-23,1.0
2243045,True,2023-09,Fall-23,1.0
2243045,True,2023-10,Fall-23,1.0
2243045,True,2023-11,Fall-23,1.0
2243045,True,2023-12,Winter-23,1.0
2243045,True,2024-01,Winter-24,1.0
